target_repo,name,owner,explored,incoming_count,incoming_seeds
https://github.com/executablebooks/markdown-it-py,markdown-it-py,https://github.com/executablebooks,true,1,https://github.com/google-deepmind/alphafold3
https://github.com/executablebooks/mdurl,mdurl,https://github.com/executablebooks,true,1,https://github.com/google-deepmind/alphafold3
https://github.com/facebookresearch/hydra,hydra,https://github.com/facebookresearch,true,1,https://github.com/jwohlwend/boltz
https://github.com/fferflo/einx,einx,https://github.com/fferflo,true,1,https://github.com/jwohlwend/boltz
https://github.com/fsspec/filesystem_spec,filesystem_spec,https://github.com/fsspec,true,1,https://github.com/google-deepmind/alphafold3
https://github.com/giampaolo/psutil,psutil,https://github.com/giampaolo,true,1,https://github.com/google-deepmind/alphafold3
https://github.com/google-deepmind/einshape,einshape,https://github.com/google-deepmind,true,1,https://github.com/google-deepmind/alphafold3
https://github.com/google-deepmind/jmp,jmp,https://github.com/google-deepmind,true,1,https://github.com/google-deepmind/alphafold3
https://github.com/google-deepmind/treescope,treescope,google-deepmind,true,1,https://github.com/google-deepmind/alphafold3
https://github.com/google/brotli,brotli,https://github.com/google,true,1,https://github.com/Biohub/esm
https://github.com/google/etils,etils,https://github.com/google,true,1,https://github.com/google-deepmind/alphafold3
https://github.com/google/flax,flax,https://github.com/google,true,1,https://github.com/google-deepmind/alphafold3
https://github.com/google/orbax,orbax,https://github.com/google,true,1,https://github.com/google-deepmind/alphafold3
https://github.com/google/qwix,qwix,https://github.com/google,true,1,https://github.com/google-deepmind/alphafold3
https://github.com/google/tensorstore,tensorstore,https://github.com/google,true,1,https://github.com/google-deepmind/alphafold3
https://github.com/ihmwg/python-modelcif,python-modelcif,https://github.com/ihmwg,true,1,https://github.com/jwohlwend/boltz
https://github.com/indygreg/python-zstandard,python-zstandard,https://github.com/indygreg,true,1,https://github.com/google-deepmind/alphafold3
https://github.com/ipython/ipython,ipython,https://github.com/ipython,true,1,https://github.com/Biohub/esm
https://github.com/jaraco/zipp,zipp,https://github.com/jaraco,true,1,https://github.com/google-deepmind/alphafold3
https://github.com/jax-ml/ml_dtypes,ml_dtypes,https://github.com/jax-ml,true,1,https://github.com/google-deepmind/alphafold3
https://github.com/jd/tenacity,tenacity,https://github.com/jd,true,1,https://github.com/Biohub/esm
https://github.com/joblib/joblib,joblib,https://github.com/joblib,true,1,https://github.com/sokrypton/ColabDesign
https://github.com/lanpa/tensorboardX,tensorboardX,https://github.com/lanpa,true,1,https://github.com/google-deepmind/alphafold3
https://github.com/lebedov/msgpack-numpy,msgpack-numpy,https://github.com/lebedov,true,1,https://github.com/Biohub/esm
https://github.com/mina86/pygtrie,pygtrie,https://github.com/mina86,true,1,https://github.com/Biohub/esm
https://github.com/msgpack/msgpack-python,msgpack-python,https://github.com/msgpack,true,1,https://github.com/google-deepmind/alphafold3
https://github.com/numpy/numpydoc,numpydoc,https://github.com/numpy,true,1,https://github.com/biopython/biopython
https://github.com/openmm/pdbfixer,pdbfixer,https://github.com/openmm,true,1,https://github.com/google-deepmind/alphafold
https://github.com/orgs/scikit-build,,orgs,false,1,https://github.com/google-deepmind/alphafold3
https://github.com/pallets/click,click,https://github.com/pallets,true,1,https://github.com/jwohlwend/boltz
https://github.com/patrick-kidger/jaxtyping,jaxtyping,https://github.com/patrick-kidger,true,1,https://github.com/google-deepmind/alphafold3
https://github.com/patrick-kidger/wadler_lindig,wadler_lindig,https://github.com/patrick-kidger,true,1,https://github.com/google-deepmind/alphafold3
https://github.com/project-gemmi/gemmi,gemmi,https://github.com/project-gemmi,true,1,https://github.com/jwohlwend/boltz
https://github.com/pybind/pybind11,pybind11,https://github.com/pybind,true,1,https://github.com/google-deepmind/alphafold3
https://github.com/pydantic/pydantic,pydantic,https://github.com/pydantic,true,1,https://github.com/google-deepmind/alphafold3
https://github.com/pydantic/typing-inspection,typing-inspection,https://github.com/pydantic,true,1,https://github.com/google-deepmind/alphafold3
https://github.com/pypa/packaging,packaging,https://github.com/pypa,true,1,https://github.com/google-deepmind/alphafold3
https://github.com/pypa/setuptools,setuptools,https://github.com/pypa,true,1,https://github.com/google-deepmind/alphafold
https://github.com/pytest-dev/iniconfig,iniconfig,https://github.com/pytest-dev,true,1,https://github.com/google-deepmind/alphafold3
https://github.com/python-humanize/humanize,humanize,https://github.com/python-humanize,true,1,https://github.com/google-deepmind/alphafold3
https://github.com/python/importlib_resources,importlib_resources,https://github.com/python,true,1,https://github.com/google-deepmind/alphafold3
https://github.com/python/typing_extensions,typing_extensions,https://github.com/python,true,1,https://github.com/google-deepmind/alphafold3
https://github.com/pytoolz/toolz,toolz,https://github.com/pytoolz,true,1,https://github.com/google-deepmind/alphafold3
https://github.com/pytorch/text,text,https://github.com/pytorch,true,1,https://github.com/Biohub/esm
https://github.com/pytorch/vision,,pytorch,false,1,https://github.com/Biohub/esm
https://github.com/rcsb/mmtf-python.git,,,false,1,https://github.com/biopython/biopython
https://github.com/readthedocs/sphinx_rtd_theme,sphinx_rtd_theme,https://github.com/readthedocs,true,1,https://github.com/biopython/biopython
https://github.com/redis/redis-py,redis-py,https://github.com/redis,true,1,https://github.com/jwohlwend/boltz
https://github.com/scikit-build/cmake-python-distributions,cmake-python-distributions,https://github.com/scikit-build,true,1,https://github.com/google-deepmind/alphafold3
