seed_url,display_name,edge_type,edges,distinct_users,top_users
https://github.com/westlake-repl/SaProt,SAProt,reviewed_prs,0,0,
https://github.com/westlake-repl/SaProt,SAProt,commented_on,59,59,rescuz|mikochou|nogako|sj584|wangjqspace
https://github.com/RosettaCommons/RFdiffusion,RFdiffusion,opened_prs,42,42,BrandonFrenz|brianloyal|woodsh17|leonardomarino|AlexTaguchi
https://github.com/RosettaCommons/RFdiffusion,RFdiffusion,opened_issues,81,81,navvye|SandS73th|saspanda19|luke-heo|fanch1122
https://github.com/RosettaCommons/RFdiffusion,RFdiffusion,reviewed_prs,12,12,joewatchwell|JoshuaEPSamuel|nater9|nrbennet|woodsh17
https://github.com/RosettaCommons/RFdiffusion,RFdiffusion,commented_on,89,89,lyskov|fanch1122|mmaavc|dnanto|Mistletoe-git
https://github.com/baker-laboratory/rf_diffusion_all_atom,RFdiffusion All-Atom,opened_prs,7,7,mnoyes68|profdocpizza|roccomoretti|poolsar42|dohyeonscottkim
https://github.com/baker-laboratory/rf_diffusion_all_atom,RFdiffusion All-Atom,opened_issues,29,29,BJHardy|JeffersonPark1304|georgeasaffrey8-crypto|geraseva|jonfunk21
https://github.com/baker-laboratory/rf_diffusion_all_atom,RFdiffusion All-Atom,reviewed_prs,1,1,r-krishna
https://github.com/baker-laboratory/rf_diffusion_all_atom,RFdiffusion All-Atom,commented_on,44,44,james-vincent|Lyang556|AlvinAi-cloud|sherryliu987|JaytonKogeru
https://github.com/dauparas/ProteinMPNN,ProteinMPNN,opened_prs,27,27,decarboxy|Seanny123|tony-res|duerrsimon|jlaw9
https://github.com/dauparas/ProteinMPNN,ProteinMPNN,opened_issues,89,89,inthesomeday000|Snail-TI|yyou1996|kjogr12|amin-sagar
https://github.com/dauparas/ProteinMPNN,ProteinMPNN,reviewed_prs,0,0,
https://github.com/dauparas/ProteinMPNN,ProteinMPNN,commented_on,74,74,drewschaub|echen1214|mlnance|emilyrkang|wyattxuanyang
https://github.com/dauparas/LigandMPNN,LigandMPNN,opened_prs,16,16,TheLostLambda|JYlag|thomas-tugwell|mooreneural|fnachon
https://github.com/dauparas/LigandMPNN,LigandMPNN,opened_issues,47,47,KrorinKM|rclune|lcesaire3|BJHardy|niklaskristiansen
https://github.com/dauparas/LigandMPNN,LigandMPNN,reviewed_prs,2,2,vdelriop|jdauparas
https://github.com/dauparas/LigandMPNN,LigandMPNN,commented_on,49,49,lzygitk7|chelseashuu|CharlieJohnson98|Leo-T-Zang|Arindam337
https://github.com/generatebio/chroma,Chroma,opened_prs,5,5,AhmedTammaa|amorehead|elkoz|wujiewang|chaitjo
https://github.com/generatebio/chroma,Chroma,opened_issues,52,52,LtECoD|hnisonoff|vcantuna|Travis13197|vuhongai
https://github.com/generatebio/chroma,Chroma,reviewed_prs,0,0,
https://github.com/generatebio/chroma,Chroma,commented_on,49,49,jasonkey|Lyn-666|LordAidan|robbenplus|celalp
https://github.com/ProteinDesignLab/protpardelle,Protpardelle,opened_prs,5,5,satyabikash|alexechu|zhkim216|duerrsimon|tianyu-lu
https://github.com/ProteinDesignLab/protpardelle,Protpardelle,opened_issues,6,6,DaHenz|Wangchentong|huangbinapple|jiaweiguan|Gullfaxi29
https://github.com/ProteinDesignLab/protpardelle,Protpardelle,reviewed_prs,2,2,alexechu|zhkim216
https://github.com/ProteinDesignLab/protpardelle,Protpardelle,commented_on,5,5,satyabikash|alexechu|zhkim216|hnljq|Yaoyaolingbro
https://github.com/jasonkyuyim/se3_diffusion,FrameDiff,opened_prs,7,7,pengzhangzhi|blt2114|PerfectMartini|amorehead|ckstrategist-ux
https://github.com/jasonkyuyim/se3_diffusion,FrameDiff,opened_issues,21,21,jiaweiguan|wewewexiao2008|a-green-hand-jack|LivC93|wzm2256
https://github.com/jasonkyuyim/se3_diffusion,FrameDiff,reviewed_prs,2,2,Wangchentong|jasonkyuyim
https://github.com/jasonkyuyim/se3_diffusion,FrameDiff,commented_on,24,24,a-green-hand-jack|RinGhalSun|pengzhangzhi|wewewexiao2008|jamaliki
,AbMPNN (weights only — runs on ProteinMPNN),opened_prs,0,0,
,AbMPNN (weights only — runs on ProteinMPNN),opened_issues,0,0,
,AbMPNN (weights only — runs on ProteinMPNN),reviewed_prs,0,0,
,AbMPNN (weights only — runs on ProteinMPNN),commented_on,0,0,
https://github.com/martinpacesa/BindCraft,BindCraft,opened_prs,18,18,germanne|multimeric|kyleford8|mmb78|MxMstrmn
https://github.com/martinpacesa/BindCraft,BindCraft,opened_issues,77,77,0Proma0|dhiraj82|Andre-C-M|luckrols|shambam
https://github.com/martinpacesa/BindCraft,BindCraft,reviewed_prs,1,1,copilot-pull-request-reviewer
https://github.com/martinpacesa/BindCraft,BindCraft,commented_on,77,77,almeida85|Mintanxon|antorsae|Xuefeng-Wang|JFish-Y
https://github.com/sokrypton/ColabDesign,ColabDesign,opened_prs,12,12,guyujun|KeaunAmani|oliverdutton|andrewfavor95|gezmi
https://github.com/sokrypton/ColabDesign,ColabDesign,opened_issues,71,71,seyonechithrananda|sbhakat|guodong1988|johnnytam100|ardagoreci
https://github.com/sokrypton/ColabDesign,ColabDesign,reviewed_prs,2,2,sokrypton|curtisdow1973-sys
https://github.com/sokrypton/ColabDesign,ColabDesign,commented_on,55,55,Peldom|sokrypton|reece-maticebio|suknamgoong1970|BrandonFrenz
https://github.com/NatLabRockies/EvoProtGrad,EvoProtGrad,opened_prs,4,4,hazemessamm|carlossolugen|EvanKomp|pemami4911
https://github.com/NatLabRockies/EvoProtGrad,EvoProtGrad,opened_issues,6,6,pemami4911|willfinnigan|KrajShuffle|anonimoustt|carlossolugen
https://github.com/NatLabRockies/EvoProtGrad,EvoProtGrad,reviewed_prs,1,1,pemami4911
https://github.com/NatLabRockies/EvoProtGrad,EvoProtGrad,commented_on,4,4,Amelie-Schreiber|pemami4911|anonimoustt|willfinnigan
https://github.com/RosettaCommons/protein_generator,ProteinGenerator,opened_prs,3,3,geraseva|anirudhbhashyam|SamTipps
https://github.com/RosettaCommons/protein_generator,ProteinGenerator,opened_issues,24,24,y1zhou|124189|sirius777coder|broomsday|anirudhbhashyam
https://github.com/RosettaCommons/protein_generator,ProteinGenerator,reviewed_prs,0,0,
https://github.com/RosettaCommons/protein_generator,ProteinGenerator,commented_on,20,20,HanLab-OSU|pieris98|SamTipps|ErikHartman|Ameftn14
https://github.com/DunbrackLab/IPSAE,ipSAE pipeline,opened_prs,8,8,AtharvaTilewale|y1zhou|foreveremain|liuqqq2019|chAwater
https://github.com/DunbrackLab/IPSAE,ipSAE pipeline,opened_issues,20,20,zhaisilong|GarlicPaasta|liuqqq2019|lmxtdt|jesperdlau
https://github.com/DunbrackLab/IPSAE,ipSAE pipeline,reviewed_prs,1,1,dunbrack
https://github.com/DunbrackLab/IPSAE,ipSAE pipeline,commented_on,14,14,shahryary|tomerco4|young-su-ko|RicardoRH96|jesperdlau
,ProteinCrow (no public repo),opened_prs,0,0,
,ProteinCrow (no public repo),opened_issues,0,0,
,ProteinCrow (no public repo),reviewed_prs,0,0,
,ProteinCrow (no public repo),commented_on,0,0,
https://github.com/RosettaCommons/rosetta,Rosetta,opened_prs,12,12,OccupyMars2029|saberger|rclune|everyday847|Haddox
https://github.com/RosettaCommons/rosetta,Rosetta,opened_issues,54,54,kabe89|wang-zs1|NooraAz|black-desk|constanrine5d
https://github.com/RosettaCommons/rosetta,Rosetta,reviewed_prs,7,7,Haddox|roccomoretti|ajasja|woodsh17|willsheffler
https://github.com/RosettaCommons/rosetta,Rosetta,commented_on,44,44,akshayansamy|weitzner|Tangbbmc|smoe|pacho2
https://github.com/RosettaCommons/PyRosetta.notebooks,PyRosetta,opened_prs,21,21,sophie006liu|kamurani|aleaverfay|OLaprevote|vmullig
https://github.com/RosettaCommons/PyRosetta.notebooks,PyRosetta,opened_issues,37,37,MichaelLaw2003|lelaihoangson|jbailey1933|ascusf|Paulie-ai
https://github.com/RosettaCommons/PyRosetta.notebooks,PyRosetta,reviewed_prs,12,12,klimaj|lyskov|ramyarangan|TENeary|smoe
https://github.com/RosettaCommons/PyRosetta.notebooks,PyRosetta,commented_on,36,36,yuanhan-wu|MichaelLaw2003|ak422|JackMaguire|aleaverfay
https://github.com/biopython/biopython,Biopython,opened_prs,47,47,timjden|YuuGR1337|gabufle|narutamaaurum|GeneratedScript-RL
https://github.com/biopython/biopython,Biopython,opened_issues,75,75,hartwork|GeneratedScript-RL|manulera|lee-t|beneopp
https://github.com/biopython/biopython,Biopython,reviewed_prs,20,20,xelandernt|GeneratedScript-RL|CameronCat|etal|MarkusPiotrowski
https://github.com/biopython/biopython,Biopython,commented_on,100,100,Tuyt691|gabufle|GeneratedScript-RL|flyfir248|starrzy
https://github.com/oxpig/ImmuneBuilder,ImmuneBuilder,opened_prs,8,8,prihoda|BrandonFrenz|jadolfbr|303-SeeOther|ljyanesm
https://github.com/oxpig/ImmuneBuilder,ImmuneBuilder,opened_issues,0,0,
https://github.com/oxpig/ImmuneBuilder,ImmuneBuilder,reviewed_prs,3,3,github-advanced-security|brennanaba|FBoyles
https://github.com/oxpig/ImmuneBuilder,ImmuneBuilder,commented_on,3,3,brennanaba|prihoda|jadolfbr
