seed_url,display_name,contributor_gh_url,contributor_handle,contributor_name,ror_uri,ror_name
https://github.com/jwohlwend/boltz,Boltz-2,https://github.com/lbugnon,lbugnon,lbugnon,https://ror.org/03cqe8w59,Consejo Nacional de Investigaciones Científicas y Técnicas
https://github.com/jwohlwend/boltz,Boltz-2,https://github.com/lbugnon,lbugnon,lbugnon,https://ror.org/04fqqys39,Computational Intelligence and Information Systems Lab
https://github.com/jwohlwend/boltz,Boltz-2,https://github.com/phue,phue,phue,https://ror.org/02c5jsm26,Research Institute of Molecular Pathology
https://github.com/jwohlwend/boltz,Boltz-2,https://github.com/phue,phue,phue,https://ror.org/03a1kwz48,University of Tübingen
https://github.com/jwohlwend/boltz,Boltz-2,https://github.com/phue,phue,phue,https://ror.org/03prydq77,University of Vienna
https://github.com/jwohlwend/boltz,Boltz-2,https://github.com/phue,phue,phue,https://ror.org/03t8mqd25,Institute of Molecular Biology
https://github.com/jwohlwend/boltz,Boltz-2,https://github.com/phue,phue,phue,https://ror.org/05591te55,Ludwig-Maximilians-Universität München
https://github.com/jwohlwend/boltz,Boltz-2,https://github.com/phue,phue,phue,https://ror.org/05kxtq558,Institute of Molecular Biology
https://github.com/jwohlwend/boltz,Boltz-2,https://github.com/darianyang,darianyang,darianyang,https://ror.org/035b05819,University of Copenhagen
https://github.com/jwohlwend/boltz,Boltz-2,https://github.com/gcroci2,gcroci2,gcroci2,https://ror.org/00rbjv475,Netherlands eScience Center
https://github.com/jwohlwend/boltz,Boltz-2,https://github.com/JohnKirwan,JohnKirwan,JohnKirwan,https://ror.org/012a77v79,Lund University
https://github.com/jwohlwend/boltz,Boltz-2,https://github.com/JohnKirwan,JohnKirwan,JohnKirwan,https://ror.org/03v5jj203,Stazione Zoologica Anton Dohrn
https://github.com/jwohlwend/boltz,Boltz-2,https://github.com/JohnKirwan,JohnKirwan,JohnKirwan,https://ror.org/04mnaqe33,Arquimea (Spain)
https://github.com/jwohlwend/boltz,Boltz-2,https://github.com/JohnKirwan,JohnKirwan,JohnKirwan,https://ror.org/05m7pjf47,University College Dublin
https://github.com/jwohlwend/boltz,Boltz-2,https://github.com/Jnelen,Jnelen,Jnelen,https://ror.org/052gg0110,University of Oxford
https://github.com/facebookresearch/esm,ESM2 / ESMFold,https://github.com/sbonner0,sbonner0,sbonner0,https://ror.org/00eae9z71,University of Newcastle Australia
https://github.com/facebookresearch/esm,ESM2 / ESMFold,https://github.com/sbonner0,sbonner0,sbonner0,https://ror.org/01kj2bm70,Newcastle University
https://github.com/facebookresearch/esm,ESM2 / ESMFold,https://github.com/sbonner0,sbonner0,sbonner0,https://ror.org/01v29qb04,Durham University
https://github.com/facebookresearch/esm,ESM2 / ESMFold,https://github.com/sbonner0,sbonner0,sbonner0,https://ror.org/04n8fbz89,AstraZeneca (Canada)
https://github.com/facebookresearch/esm,ESM2 / ESMFold,https://github.com/sbonner0,sbonner0,sbonner0,https://ror.org/04vyg0r47,Criteo (France)
https://github.com/facebookresearch/esm,ESM2 / ESMFold,https://github.com/sbonner0,sbonner0,sbonner0,https://ror.org/04wwrrg31,AstraZeneca (Sweden)
https://github.com/facebookresearch/esm,ESM2 / ESMFold,https://github.com/sbonner0,sbonner0,sbonner0,https://ror.org/05t1h8f27,University of Huddersfield
https://github.com/facebookresearch/esm,ESM2 / ESMFold,https://github.com/amorehead,amorehead,amorehead,https://ror.org/02jbv0t02,Lawrence Berkeley National Laboratory
https://github.com/facebookresearch/esm,ESM2 / ESMFold,https://github.com/amorehead,amorehead,amorehead,https://ror.org/02ymw8z06,University of Missouri
https://github.com/facebookresearch/esm,ESM2 / ESMFold,https://github.com/amorehead,amorehead,amorehead,https://ror.org/03vn2ff22,Missouri Western State University
https://github.com/facebookresearch/esm,ESM2 / ESMFold,https://github.com/YaoYinYing,YaoYinYing,YaoYinYing,https://ror.org/023b72294,Huazhong Agricultural University
https://github.com/RosettaCommons/RFdiffusion,RFdiffusion,https://github.com/jasonkyuyim,jasonkyuyim,jasonkyuyim,https://ror.org/00971b260,Google DeepMind
https://github.com/RosettaCommons/RFdiffusion,RFdiffusion,https://github.com/jasonkyuyim,jasonkyuyim,jasonkyuyim,https://ror.org/00za53h95,Johns Hopkins University
https://github.com/RosettaCommons/RFdiffusion,RFdiffusion,https://github.com/jasonkyuyim,jasonkyuyim,jasonkyuyim,https://ror.org/042nb2s44,Massachusetts Institute of Technology
https://github.com/RosettaCommons/RFdiffusion,RFdiffusion,https://github.com/BYachnin,BYachnin,BYachnin,https://ror.org/01ph20k51,Visterra
https://github.com/RosettaCommons/RFdiffusion,RFdiffusion,https://github.com/BYachnin,BYachnin,BYachnin,https://ror.org/01pxwe438,McGill University
https://github.com/RosettaCommons/RFdiffusion,RFdiffusion,https://github.com/BYachnin,BYachnin,BYachnin,https://ror.org/02y72wh86,Queen's University
https://github.com/RosettaCommons/RFdiffusion,RFdiffusion,https://github.com/BYachnin,BYachnin,BYachnin,https://ror.org/05vt9qd57,"Rutgers, The State University of New Jersey"
https://github.com/RosettaCommons/RFdiffusion,RFdiffusion,https://github.com/rclune,rclune,rclune,https://ror.org/02ed4cj64,Creative Commons
https://github.com/RosettaCommons/RFdiffusion,RFdiffusion,https://github.com/rclune,rclune,rclune,https://ror.org/02en65a92,Open Molecular Software Foundation
https://github.com/dauparas/ProteinMPNN,ProteinMPNN,https://github.com/https://github.com/duerrsimon,https://github.com/duerrsimon,https://github.com/duerrsimon,https://ror.org/02s376052,École Polytechnique Fédérale de Lausanne
https://github.com/dauparas/ProteinMPNN,ProteinMPNN,https://github.com/https://github.com/duerrsimon,https://github.com/duerrsimon,https://github.com/duerrsimon,https://ror.org/03r5zec51,HES-SO Valais-Wallis
https://github.com/dauparas/ProteinMPNN,ProteinMPNN,https://github.com/https://github.com/benf549,https://github.com/benf549,https://github.com/benf549,https://ror.org/00za53h95,Johns Hopkins University
https://github.com/dauparas/ProteinMPNN,ProteinMPNN,https://github.com/https://github.com/benf549,https://github.com/benf549,https://github.com/benf549,https://ror.org/03vek6s52,Harvard University
https://github.com/ProteinDesignLab/protpardelle,Protpardelle,https://github.com/https://github.com/duerrsimon,https://github.com/duerrsimon,https://github.com/duerrsimon,https://ror.org/02s376052,École Polytechnique Fédérale de Lausanne
https://github.com/ProteinDesignLab/protpardelle,Protpardelle,https://github.com/https://github.com/duerrsimon,https://github.com/duerrsimon,https://github.com/duerrsimon,https://ror.org/03r5zec51,HES-SO Valais-Wallis
https://github.com/ProteinDesignLab/protpardelle,Protpardelle,https://github.com/gelnesr,gelnesr,gelnesr,https://ror.org/00f54p054,Stanford University
https://github.com/ProteinDesignLab/protpardelle,Protpardelle,https://github.com/gelnesr,gelnesr,gelnesr,https://ror.org/00za53h95,Johns Hopkins University
https://github.com/jasonkyuyim/se3_diffusion,FrameDiff,https://github.com/jasonkyuyim,jasonkyuyim,jasonkyuyim,https://ror.org/00971b260,Google DeepMind
https://github.com/jasonkyuyim/se3_diffusion,FrameDiff,https://github.com/jasonkyuyim,jasonkyuyim,jasonkyuyim,https://ror.org/00za53h95,Johns Hopkins University
https://github.com/jasonkyuyim/se3_diffusion,FrameDiff,https://github.com/jasonkyuyim,jasonkyuyim,jasonkyuyim,https://ror.org/042nb2s44,Massachusetts Institute of Technology
https://github.com/jasonkyuyim/se3_diffusion,FrameDiff,https://github.com/amorehead,amorehead,amorehead,https://ror.org/02jbv0t02,Lawrence Berkeley National Laboratory
https://github.com/jasonkyuyim/se3_diffusion,FrameDiff,https://github.com/amorehead,amorehead,amorehead,https://ror.org/02ymw8z06,University of Missouri
https://github.com/jasonkyuyim/se3_diffusion,FrameDiff,https://github.com/amorehead,amorehead,amorehead,https://ror.org/03vn2ff22,Missouri Western State University
https://github.com/martinpacesa/BindCraft,BindCraft,https://github.com/martinpacesa,martinpacesa,martinpacesa,https://ror.org/02crff812,University of Zurich
https://github.com/martinpacesa/BindCraft,BindCraft,https://github.com/martinpacesa,martinpacesa,martinpacesa,https://ror.org/02j46qs45,Masaryk University
https://github.com/martinpacesa/BindCraft,BindCraft,https://github.com/martinpacesa,martinpacesa,martinpacesa,https://ror.org/02s376052,École Polytechnique Fédérale de Lausanne
https://github.com/RosettaCommons/protein_generator,ProteinGenerator,https://github.com/geraseva,geraseva,geraseva,https://ror.org/010pmpe69,Lomonosov Moscow State University
https://github.com/RosettaCommons/rosetta,Rosetta,https://github.com/momeara,momeara,momeara,https://ror.org/00jmfr291,University of Michigan
https://github.com/RosettaCommons/rosetta,Rosetta,https://github.com/momeara,momeara,momeara,https://ror.org/0130frc33,University of North Carolina at Chapel Hill
